,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page,Taken_product
6171,280,1,17714,3,3,14,33,4492,4,0,17,0,4,0,10,0
6733,153,1,22585,9,2,0,61,2564,1,0,33,1,3,0,1,0
5948,268,0,23249,1,3,6,88,2204,4,0,20,0,4,1,5,0
7604,222,1,43654,20,2,1,49,6937,2,0,22,0,4,1,10,0
6645,297,0,41517,3,4,10,51,2831,3,0,24,0,1,1,8,0
3373,346,1,39425,10,3,11,105,9112,3,1,26,0,3,1,20,0
6242,161,1,31328,9,2,6,47,2619,1,0,31,1,3,0,3,0
4307,204,1,47424,1,4,2,47,2273,3,0,18,0,3,1,12,0
9753,218,1,22448,1,3,14,101,2135,2,0,32,0,2,0,10,0
2976,376,1,30459,1,2,11,91,2742,3,1,22,0,3,0,5,1
5468,256,1,27689,24,4,7,47,4652,2,1,26,1,3,0,22,1
9046,290,0,11214,4,4,1,51,2857,4,0,37,0,3,1,20,0
11341,341,0,13459,1,5,1,97,4832,8,0,30,0,3,1,16,0
8906,186,1,18970,2,1,14,78,2383,3,0,26,0,3,1,8,0
574,255,1,6370,1,4,3,72,3280,2,0,16,0,3,0,10,0
8209,222,1,32978,15,1,0,77,2173,0,1,26,0,1,1,6,0
4340,286,1,50589,1,4,10,97,3038,0,1,19,0,2,1,10,0
9048,274,0,33084,1,3,1,115,8852,2,0,26,0,1,0,17,0
5004,219,1,43864,23,2,3,88,2753,2,0,30,1,3,1,15,0
9222,231,1,37912,12,3,14,103,6623,2,0,25,0,2,0,8,0
10426,395,0,40285,8,4,0,71,10702,3,0,37,0,4,0,25,1
10788,171,1,21179,6,1,6,91,2830,2,0,37,1,4,0,4,0
5887,231,1,47537,24,1,0,77,2703,1,0,30,1,2,1,1,0
2994,196,1,50537,23,3,11,56,4205,9,1,26,0,3,1,8,0
306,240,1,31710,1,3,3,91,5484,1,0,14,0,3,1,13,0
11676,205,1,5545,1,3,6,111,2924,1,0,34,0,4,0,14,0
8242,151,1,17645,10,3,6,108,1864,1,1,31,1,2,0,1,1
7753,320,1,22586,1,3,1,57,8404,1,0,19,0,3,1,10,0
8936,260,1,47440,5,3,6,60,11696,4,0,25,0,4,0,23,0
3538,211,1,31188,1,4,7,51,4430,7,0,25,0,4,0,8,1
4115,294,1,17262,12,3,7,71,5351,6,0,27,1,3,0,13,0
7893,333,1,13338,24,3,6,61,3716,2,0,25,0,3,0,9,0
5096,308,1,9239,1,3,7,68,4766,4,1,24,0,3,0,23,0
10060,298,1,27762,1,3,0,95,6538,1,1,33,0,4,1,11,0
9939,298,1,43630,14,3,0,92,9988,2,0,30,0,4,1,17,0
5098,144,1,14710,21,3,10,42,2161,1,1,16,0,2,0,5,1
7350,312,1,38575,1,2,0,105,6001,8,1,19,0,1,0,8,1
182,307,1,47460,20,2,11,70,3140,1,1,22,1,4,0,4,1
4,202,1,20685,1,1,7,40,3468,9,0,12,0,4,1,6,0
751,375,1,5075,1,3,3,95,6347,0,0,12,0,1,1,19,0
9338,294,1,8562,7,4,1,65,4093,2,0,32,1,1,0,13,0
6910,237,1,11421,8,2,0,36,10803,1,0,22,0,1,1,13,0
9778,266,1,33059,9,3,0,103,8559,2,0,30,0,4,1,14,0
11322,300,1,20771,2,3,0,70,3708,4,1,36,1,2,0,14,1
5681,158,1,11830,1,1,11,36,2722,1,0,18,0,2,0,7,1
10689,245,1,11555,1,2,0,119,2270,3,0,20,0,3,1,11,0
9701,249,0,46098,2,2,0,61,5062,4,1,33,0,4,0,14,0
4741,204,1,7397,1,1,11,79,6397,1,1,19,0,4,1,11,0
6864,219,1,25767,26,3,0,53,4728,1,0,19,0,3,1,5,0
9673,152,1,22617,9,2,0,66,2620,1,0,37,1,3,0,5,0
6728,267,0,22271,4,4,10,58,2387,1,0,21,0,2,1,2,0
9929,233,1,45118,29,4,14,49,9308,3,0,24,0,2,1,16,0
973,262,1,28595,1,3,7,60,5363,0,0,12,0,2,1,10,0
3098,301,1,22098,1,4,11,82,10910,7,0,17,0,1,1,19,0
5470,181,1,13375,1,3,7,94,3226,2,1,17,0,3,0,9,1
5516,226,1,25935,1,3,3,76,9768,3,0,15,0,4,1,20,1
7521,154,0,21079,1,1,14,109,2329,0,0,27,1,1,0,1,1
6229,229,1,26117,2,3,0,72,4656,1,0,19,0,1,1,4,0
2799,217,1,12320,1,1,7,87,2804,1,0,11,0,4,0,1,0
6827,393,1,36055,5,3,0,74,8454,9,1,25,0,3,0,10,1
9803,268,1,14181,2,4,14,119,6754,3,0,25,0,4,0,23,0
5690,279,1,43399,1,2,10,99,4130,2,0,16,0,3,0,24,0
7208,212,1,25485,23,1,6,46,3543,1,0,26,1,4,1,9,0
4162,182,1,8439,22,1,12,69,1597,1,0,16,0,3,1,9,1
10644,230,1,22478,25,2,14,98,4793,7,1,18,0,2,1,10,0
11753,247,1,11418,5,3,6,99,9983,1,0,28,0,2,0,16,0
7185,408,1,15096,7,4,6,77,6857,4,0,26,0,2,1,14,0
10246,254,1,9388,29,4,0,66,2908,2,0,27,0,3,0,12,0
4256,324,1,49804,1,4,3,103,5719,2,0,26,1,3,1,10,0
373,202,1,51415,1,2,7,82,3816,1,0,11,0,2,1,5,0
4231,279,1,12988,10,4,7,64,4253,1,0,25,0,2,0,19,1
10727,232,1,14509,7,1,1,67,3045,0,0,29,0,1,0,7,0
7477,152,1,18488,22,1,1,61,1684,1,1,26,0,4,0,0,1
7899,262,1,33960,8,2,6,107,6146,3,0,17,0,4,0,10,0
5331,211,1,27718,1,4,7,49,2195,2,1,22,0,3,0,12,0
246,247,1,29120,1,4,3,63,2911,1,0,13,0,3,1,2,0
5772,339,1,45429,1,4,7,57,5458,6,0,19,0,3,0,13,0
8144,261,0,21633,3,1,0,51,7764,0,0,23,0,3,0,7,0
5201,264,1,42179,1,3,2,101,9636,2,1,28,1,1,0,18,1
449,292,1,15505,1,1,3,48,3755,1,0,11,0,1,1,8,0
10026,208,1,27569,7,3,6,90,2629,1,0,31,1,3,0,11,0
7569,409,1,40149,3,3,1,60,5946,2,0,19,0,4,1,16,0
9462,293,1,13872,9,3,1,115,2966,2,0,36,0,4,1,3,0
4226,301,1,21594,1,2,3,113,3417,4,0,24,0,4,1,12,0
4799,279,1,45724,10,4,3,61,4248,4,1,22,0,4,0,25,0
8406,217,0,52371,1,3,14,96,2921,3,0,21,0,4,1,5,1
4220,279,1,43395,1,2,10,94,4129,4,0,16,0,3,0,24,0
9751,231,1,30809,9,2,6,96,4748,7,1,38,0,3,0,17,0
6673,213,1,31333,15,2,0,57,2219,1,0,26,0,4,1,4,0
2978,271,1,29850,1,4,3,92,3475,11,1,19,0,4,1,11,0
10313,170,1,13738,15,2,0,112,1294,2,0,31,0,4,0,5,0
10923,279,1,44787,8,3,0,88,2387,2,0,39,1,3,0,10,0
7660,244,1,3718,2,3,5,71,6418,3,0,16,0,4,0,9,0
10180,243,1,16530,4,3,6,74,4042,10,0,25,0,2,1,9,0
7495,237,1,7039,5,3,14,88,3207,5,0,20,0,4,1,8,0
211,225,1,29015,1,1,3,88,8474,1,0,22,1,3,0,12,0
8322,138,1,39347,1,3,0,103,1616,1,0,18,0,3,0,0,0
11586,232,1,38275,10,3,6,81,9726,9,0,28,0,2,0,11,0
8107,261,1,7568,1,4,1,79,9733,0,0,23,0,4,1,16,0
2430,307,1,35630,1,3,11,66,4103,0,0,17,0,4,1,10,0
7206,248,1,14495,2,4,1,93,9917,7,1,23,0,3,0,7,1
5177,279,1,4378,1,3,10,46,4167,3,0,19,0,1,0,15,0
2118,277,1,43085,21,2,7,54,2973,5,0,15,0,2,1,10,0
9637,284,1,7629,18,4,0,96,7825,3,0,39,1,1,0,23,0
2607,165,1,15995,26,2,10,85,2814,1,1,14,0,2,0,4,0
1386,195,1,5495,1,3,7,95,2867,0,0,13,0,4,0,8,0
10712,150,1,17173,2,2,14,74,2626,1,0,24,0,3,0,8,1
884,300,1,3745,10,3,2,84,6852,7,0,12,0,2,1,7,0
5378,271,1,21291,1,3,11,91,4693,2,0,28,0,4,1,23,0
6542,158,1,17504,2,3,6,55,2051,1,0,21,0,4,0,2,1
6009,372,1,16459,20,4,6,101,6576,1,0,19,0,3,0,16,0
8963,234,1,15369,18,3,0,94,2700,1,0,27,0,3,0,6,0
5407,204,1,4767,17,4,3,63,2451,2,1,16,0,4,0,16,1
8320,215,1,45196,11,3,6,109,2541,8,0,20,0,2,1,5,0
780,210,1,47810,24,2,2,72,8722,1,0,12,0,1,0,10,1
9080,245,0,45941,7,3,0,114,2856,3,0,35,1,3,0,13,0
9704,309,1,3784,10,3,14,102,6914,9,0,28,0,2,1,10,0
10916,245,1,22373,8,2,6,111,5222,5,0,33,0,3,1,11,0
4520,385,1,50996,1,4,7,36,7536,5,0,23,1,3,0,29,0
1396,397,1,40880,24,4,3,66,10448,6,1,13,0,2,0,15,1
10339,275,1,43065,8,1,0,47,2326,1,0,36,0,4,0,6,0
7013,328,1,34661,27,3,14,97,4879,5,0,22,0,3,1,8,0
7240,242,1,16494,4,3,6,69,3981,8,0,15,0,2,1,4,0
3142,256,1,30766,10,4,7,55,3855,2,1,25,0,4,1,15,0
11239,306,1,18398,18,2,0,45,4577,1,0,22,0,1,0,11,0
6237,161,0,26472,1,1,14,108,2184,1,1,23,0,3,0,3,1
6144,213,1,18521,2,4,0,91,3489,2,0,20,0,3,0,5,1
6255,375,1,44139,7,3,10,34,10971,8,0,33,1,3,0,26,0
11124,264,1,49045,9,1,0,86,5780,1,0,33,1,1,0,11,0
291,270,1,17710,1,3,2,3,4485,4,0,12,0,4,0,10,0
10188,262,0,25780,22,4,10,112,5799,3,1,23,0,2,0,23,0
8366,241,1,7080,8,3,0,39,1268,1,0,17,0,3,0,1,1
5480,211,1,16385,1,3,3,62,4954,1,0,18,0,4,0,8,0
4847,226,1,14500,1,1,11,63,3034,0,0,25,0,1,0,7,0
6221,296,1,12011,15,2,0,103,11513,0,1,21,0,2,1,12,0
6639,341,1,27591,24,4,6,46,2183,1,0,27,0,1,0,6,0
3909,362,1,29975,1,3,3,64,7953,3,0,20,0,3,0,17,0
9952,308,1,4178,14,2,0,101,4686,2,0,28,0,3,1,10,0
7950,249,1,30069,4,3,0,109,6165,1,0,19,0,3,1,14,0
10102,258,1,30396,8,4,0,112,3206,7,0,25,0,2,1,20,0
2964,256,1,24511,1,1,7,90,3003,2,0,19,0,3,0,14,1
6485,289,0,16489,12,3,0,51,6295,2,0,24,0,3,1,13,0
1889,225,1,49000,1,3,3,53,2097,4,0,15,0,3,1,9,0
3349,316,1,18656,29,2,3,100,4596,3,0,15,0,2,1,24,0
4011,369,1,9534,1,2,7,51,4836,6,0,30,1,1,1,16,0
10064,233,0,45964,2,4,14,92,5020,2,0,35,0,4,0,19,0
6961,274,1,36018,16,3,0,103,8612,1,0,31,0,4,0,11,0
7153,172,1,45296,8,1,6,91,2404,1,1,26,0,3,0,1,1
1095,247,1,20615,28,4,3,79,5207,1,1,12,0,2,1,15,0
1489,285,1,12985,1,3,3,45,3944,5,1,11,0,3,0,6,0
5891,222,1,5367,15,2,0,56,4197,0,1,21,0,4,0,10,0
8444,303,1,46976,9,2,6,57,5484,0,0,23,0,4,0,9,0
8416,253,1,38471,4,4,6,85,3843,8,0,15,0,4,0,8,0
9522,234,1,8126,8,2,10,87,7309,7,0,25,0,1,1,10,0
5949,278,1,11141,9,3,6,83,3392,0,1,26,0,1,1,2,1
9325,209,1,34734,6,3,0,83,2722,2,1,29,0,3,1,8,0
4499,346,1,23458,1,2,7,76,9666,2,0,22,0,4,0,16,1
7732,205,0,20135,3,1,14,84,3107,0,0,28,1,3,0,7,1
10839,261,1,33994,8,2,6,115,6204,3,0,29,0,4,0,13,0
4446,376,1,30463,1,2,11,95,2731,2,1,19,0,3,0,5,1
7726,393,1,41242,14,2,0,90,4948,4,0,17,0,3,1,18,0
7956,263,0,24580,16,4,0,111,2561,1,0,25,0,3,0,6,0
4421,219,1,5397,15,2,3,54,4234,2,1,18,0,4,0,18,0
6314,239,1,44593,9,1,0,45,10651,1,0,30,1,4,1,13,0
6611,157,1,38398,11,3,6,104,2612,1,1,18,0,1,0,1,1
6907,267,1,14040,1,3,0,89,3302,5,0,22,0,1,1,7,0
7398,357,0,42388,5,4,1,108,5783,4,1,28,1,3,0,14,0
6867,386,0,18940,2,3,1,63,10606,2,0,17,0,2,0,14,0
5692,249,1,30381,1,4,3,95,3187,6,0,26,0,2,1,21,0
10516,287,0,11207,4,4,1,50,2849,4,0,32,0,3,1,16,0
3232,234,1,15590,1,3,11,94,2831,2,0,23,0,3,1,5,0
3773,203,1,7009,1,3,3,64,2585,2,0,20,0,3,1,8,0
10330,275,1,16295,4,2,10,92,2010,1,0,23,0,3,1,7,0
6251,227,1,44910,23,3,0,58,2212,9,0,19,0,4,0,6,0
8262,204,1,20413,4,2,0,62,2884,1,1,25,1,2,0,8,0
3892,235,1,37133,1,3,3,59,2342,2,1,21,0,1,0,5,1
7781,408,1,19190,8,4,0,51,3783,7,0,15,0,3,0,19,0
7451,251,1,28951,1,1,0,76,2963,1,0,17,0,4,0,1,0
7985,267,1,21256,9,3,0,76,10693,1,1,31,1,2,1,17,0
5798,241,1,40155,15,4,7,43,6726,5,0,25,0,2,1,14,0
2840,352,1,40915,14,4,2,64,5467,8,0,18,0,3,1,16,0
11176,233,1,51327,1,3,6,83,3632,2,1,37,1,1,1,21,0
9019,293,1,37978,29,3,14,70,6318,3,0,33,0,1,1,16,0
6236,321,1,46626,2,4,10,110,6786,3,0,35,1,2,0,14,0
11689,333,1,20136,11,3,0,40,7562,2,0,29,0,2,1,18,0
8300,244,1,20555,2,4,0,66,9862,1,1,23,0,1,1,10,0
9614,265,0,21673,3,1,0,64,7819,0,0,25,0,3,0,14,0
10383,356,0,22371,1,3,6,59,10737,3,1,32,0,3,1,28,0
6744,316,1,31717,5,2,0,99,2119,6,0,22,0,1,1,5,1
5809,323,1,20129,11,3,3,36,7551,2,0,26,0,2,1,18,0
4336,399,1,40926,24,4,3,76,10489,7,1,20,0,2,0,20,1
4281,233,1,10927,20,3,3,96,4250,2,0,14,0,1,1,19,0
12,232,1,23450,26,1,3,31,2911,1,0,17,0,4,1,5,0
11508,318,1,32187,6,3,1,60,9292,3,0,32,0,2,0,17,0
9616,198,1,42719,4,1,14,50,3744,3,1,28,0,2,1,8,1
10911,279,1,32516,1,2,0,76,6260,2,1,26,0,4,1,19,0
7408,241,1,22936,7,4,0,51,5919,3,0,28,1,4,1,10,0
6141,293,1,46457,2,2,0,45,5257,3,0,26,0,4,1,13,0
548,322,1,27125,15,3,3,47,6804,3,0,18,0,3,1,7,0
7261,217,1,38614,16,3,6,59,2148,1,0,19,0,3,0,5,0
4320,264,1,23911,18,4,7,82,5621,0,0,28,0,4,1,11,0
6060,245,1,4911,12,1,6,100,3940,8,1,33,1,3,1,7,0
9745,321,1,21156,7,4,6,94,2431,6,1,28,0,4,0,27,0
6959,301,1,38127,6,3,0,40,8385,4,0,23,0,4,0,9,0
5976,190,1,47363,3,2,10,41,5005,0,0,24,1,1,1,4,0
6843,291,1,35318,2,2,0,35,6900,3,0,19,0,4,1,11,0
3598,331,1,23168,1,2,3,69,2609,1,1,18,0,4,0,12,0
9899,306,1,38154,6,3,0,41,8445,5,0,28,0,4,0,18,0
4328,241,1,40142,15,4,7,44,6707,7,0,30,0,2,1,11,0
3426,280,1,19571,1,3,11,89,9647,6,1,18,0,3,1,22,0
9509,162,1,4569,4,3,14,94,3026,3,0,33,0,2,0,5,1
5296,226,1,51315,1,3,7,75,3621,2,1,26,1,1,1,21,0
4997,392,1,46419,11,4,3,90,3208,10,0,25,1,2,1,18,0
7864,260,0,37664,3,3,0,75,3351,1,1,17,0,1,0,10,1
6010,332,0,33501,28,3,6,77,4745,4,0,23,0,4,0,18,0
7584,254,1,28461,14,3,6,70,2441,5,1,25,0,3,1,8,1
2667,150,1,25445,1,1,3,54,2728,1,0,11,0,1,0,2,0
10575,286,1,48069,1,3,0,59,2167,1,0,32,0,2,0,23,0
9276,238,1,24118,7,3,0,61,11614,10,0,31,1,3,1,12,0
10219,335,1,20146,11,3,0,50,7560,3,0,30,0,2,1,15,0
10605,328,0,6525,10,4,0,47,2500,0,0,39,0,1,0,11,0
6266,283,1,38752,14,3,0,102,3039,1,0,21,0,3,1,18,0
10301,232,1,5407,15,2,0,57,4245,2,1,28,0,4,0,18,0
11,217,1,5355,15,2,3,49,4193,0,1,12,0,4,0,10,0
8347,215,1,4737,17,4,0,61,2402,1,1,17,0,4,0,8,1
8564,336,1,32240,2,3,0,106,7886,1,1,29,0,2,1,9,0
10654,289,1,32282,10,3,6,118,3515,7,0,31,1,2,1,22,0
6079,295,1,37944,29,3,14,64,6267,3,0,30,0,1,1,9,0
11493,403,1,48885,24,4,6,67,7064,3,0,36,0,3,0,14,0
5890,269,1,28321,16,3,6,90,2437,0,0,20,0,3,1,6,0
6048,289,1,24577,1,4,0,62,8697,4,0,33,1,3,0,12,0
1233,225,1,27755,16,1,3,33,2862,1,0,12,0,2,1,10,0
8641,284,1,12953,10,4,6,68,4218,1,0,19,0,2,0,10,1
1338,225,1,33075,1,3,7,89,1081,1,0,13,0,3,0,1,1
11427,177,1,16038,26,2,10,108,2863,1,1,27,0,2,0,10,0
7856,281,1,16874,3,3,10,45,9437,1,0,21,0,3,1,10,0
9073,321,1,32106,17,2,0,106,6605,5,1,23,0,3,0,18,0
420,217,1,34510,1,4,7,93,11935,1,0,18,0,3,0,10,0
8823,261,0,48763,3,4,0,74,2965,1,1,26,0,3,0,14,0
6543,164,1,49952,18,1,10,74,2696,1,0,30,0,1,0,1,1
7471,253,1,26258,22,2,1,103,6156,0,0,16,0,1,1,8,0
4471,287,1,22885,29,5,3,58,2461,1,0,19,0,4,0,15,0
3632,241,1,17460,1,4,7,105,6782,2,0,21,0,3,1,14,0
6046,316,1,16281,14,3,0,63,2455,4,0,19,0,1,1,13,0
4171,346,1,25132,13,4,3,48,5622,7,0,21,0,4,0,25,0
9440,277,1,47042,27,1,6,78,2607,1,0,23,0,4,0,12,0
3867,271,1,15053,1,4,3,67,5468,11,1,14,0,4,0,20,0
8111,277,1,23105,15,3,10,86,4842,7,0,20,0,2,1,9,1
3228,196,1,50752,16,4,7,55,2413,2,1,24,0,4,1,13,1
6515,270,1,21253,9,3,0,77,10694,1,1,27,1,2,1,17,0
1618,307,1,32655,1,4,3,94,2238,2,0,21,1,4,1,7,0
8302,239,0,37110,1,3,0,59,2312,1,1,23,0,1,0,3,1
5175,286,1,41560,1,4,10,57,2867,5,0,20,0,1,1,13,0
5504,301,1,47005,1,2,7,62,5522,2,0,17,0,4,0,10,0
9366,223,1,48911,10,3,0,116,2703,2,0,26,0,3,0,7,0
7378,338,1,16698,7,4,6,49,10252,3,0,18,0,4,1,24,0
10189,215,1,51669,13,2,1,100,9918,5,1,33,0,4,0,13,1
9524,267,1,30919,3,4,0,109,7892,8,0,35,0,2,1,13,0
9613,222,1,31372,15,2,0,67,2271,3,0,27,0,4,1,13,0
9821,287,1,51212,11,3,6,104,3673,4,0,33,0,1,0,16,0
7392,202,1,47505,25,3,0,54,2303,1,0,18,0,3,0,1,1
5892,244,1,23453,26,1,0,38,2914,1,0,27,0,4,1,5,0
10414,246,1,8761,6,4,0,100,6235,4,1,38,0,2,0,15,1
1048,255,1,46410,1,3,10,81,4759,3,0,18,0,4,0,15,0
9865,314,1,31398,2,3,6,86,2397,4,0,31,0,3,1,13,0
8520,208,0,20688,2,3,6,98,2590,2,0,16,0,3,0,6,0
11681,294,1,49191,1,3,0,71,2927,6,0,31,0,1,0,27,0
4934,257,1,50519,1,3,7,53,8678,2,0,20,0,2,0,15,0
9649,257,1,21147,9,4,1,92,8282,1,1,25,0,1,0,12,1
9985,341,0,21108,1,5,5,48,5800,4,1,30,0,3,0,22,0
10204,261,1,32836,1,3,1,46,9945,2,0,38,1,1,0,22,0
4798,316,1,7070,1,4,3,101,2617,5,0,25,0,2,1,16,0
4906,158,1,47050,22,1,2,56,3494,1,0,20,0,3,0,7,0
11587,205,1,32250,20,2,6,81,2206,0,1,17,0,3,0,11,1
8630,284,1,43369,8,2,10,92,4082,2,0,23,0,3,0,19,0
10732,284,1,22266,10,4,6,57,10041,1,0,24,0,4,0,13,0
3975,235,1,48974,1,2,7,103,2155,10,0,29,0,4,0,14,0
1208,255,1,40495,1,2,7,57,3986,1,0,14,0,3,1,15,0
4092,158,1,19144,1,1,7,111,3159,1,0,21,0,3,0,13,0
7711,308,1,40995,10,4,0,58,2221,3,1,21,0,3,1,10,0
8059,240,1,11732,9,2,6,50,2329,0,1,28,1,1,0,4,1
7287,189,1,26992,1,2,0,52,4627,1,0,21,0,2,0,4,0
2696,240,1,20475,10,3,3,56,3433,6,0,13,0,1,1,10,0
10762,292,1,15651,1,4,0,91,6510,7,0,23,0,2,1,16,0
5990,391,0,50971,1,4,6,40,7491,3,0,30,1,3,0,23,0
8500,268,1,28671,18,5,0,55,5213,1,0,21,0,4,0,16,0
10427,303,1,46572,4,4,0,69,5945,5,0,29,0,3,1,22,0
8453,368,1,17228,16,4,0,100,6443,8,0,24,0,3,1,18,0
5666,287,1,20827,1,2,7,90,2526,5,0,17,0,2,1,16,0
10201,219,1,38666,16,3,6,63,2197,3,0,33,0,3,0,10,0
7183,364,1,35038,4,3,0,96,10338,8,1,16,0,3,1,28,0
5982,154,0,30494,6,3,0,69,2935,1,1,28,0,2,0,1,1
4913,256,1,48935,1,5,3,49,2749,1,0,16,0,4,1,17,0
9399,266,1,4291,2,4,6,102,4440,1,0,22,0,3,0,10,0
7253,289,0,48795,8,3,6,68,2136,1,1,25,0,3,1,20,0
11606,331,0,49813,2,4,0,110,5732,2,0,31,1,3,1,13,0
2358,262,1,42420,1,2,11,78,10377,4,1,11,0,2,1,16,0
7880,213,1,21284,1,2,0,73,7423,1,0,16,0,4,0,9,0
3667,136,1,10079,1,2,3,88,1109,3,0,19,0,4,0,6,0
8448,305,1,39979,8,2,0,80,4077,3,1,30,0,3,0,8,0
10832,293,1,5929,1,3,0,97,7909,6,1,29,0,4,0,16,0
5607,152,1,25495,1,1,3,64,2775,3,0,16,0,1,0,8,0
4478,263,1,23273,1,3,7,93,2248,4,0,24,0,4,1,8,0
6951,371,1,9491,3,2,6,49,4800,4,0,35,1,1,1,10,0
2814,277,1,27405,1,4,7,78,4284,5,1,22,1,3,1,16,0
1625,217,1,52360,1,1,2,41,4319,1,0,13,0,1,1,10,0
9442,247,1,4148,13,4,0,89,4465,2,0,24,0,3,1,9,0
3668,407,1,50482,17,3,2,66,10799,8,0,22,0,3,1,27,0
8156,399,1,34798,7,4,0,93,10454,7,0,27,0,4,0,18,0
2850,262,1,23870,18,4,7,71,5561,0,0,16,0,4,1,6,0
694,247,1,37415,1,3,3,42,6949,0,0,14,0,1,0,6,0
9496,271,1,39848,21,1,0,77,4067,2,1,40,1,4,1,15,0
6571,303,0,51424,9,4,6,41,3622,8,1,25,0,4,1,3,0
6664,291,1,11559,17,1,0,68,8833,0,0,23,0,1,1,20,0
6699,217,1,50797,2,1,0,76,3206,0,0,27,0,1,0,6,0
9319,255,1,42605,8,4,1,60,7151,1,0,31,0,4,0,10,0
9672,227,1,49076,6,1,6,65,3186,3,0,26,0,1,1,14,0
8716,303,1,43795,21,4,0,36,5747,6,0,26,0,3,1,10,0
4711,137,1,28453,10,3,7,74,1257,3,0,24,0,1,0,3,0
6047,234,1,46877,5,3,0,48,9423,2,0,19,0,3,1,12,0
4235,309,1,27906,1,1,11,88,10503,1,1,21,0,4,1,29,0
4620,241,1,36606,1,4,7,47,10445,1,0,16,0,3,0,15,1
1541,217,1,46480,1,3,3,76,2703,0,0,23,1,4,1,6,0
5956,275,1,27163,1,4,1,41,4322,0,0,25,0,2,0,16,0
